race_id,athlete_id,swim,t1,bike,t2,run,overall,notes
570919,170617,00:40:52,00:02:06,01:49:00,00:02:46,01:16:19,03:51:03,Mia Lin has incorrectly formatted bike and run splits; recalculated from other splits
580189,173209,00:11:28,00:01:07,00:40:38,00:00:40,00:25:00,01:18:53,Lenka Stepanova has incorrect run split; recalculated from other splits
571588,170850,00:42:31,00:02:07,01:13:46,00:02:22,01:02:02,03:02:48,Zrinka Banovčić has incorrectly formatted run split; recalculated from other splits
580132,173173,00:23:11,00:00:48,01:00:15,00:01:31,00:37:16,02:03:01,Anna Bergsten has incorrectly formatted bike split; recalculated from other splits
580132,72782,00:20:13,00:00:32,01:04:47,00:01:00,00:42:22,02:08:54,Marie Carlsson has incorrectly formatted bike split; recalculated from other splits
580132,94968,00:24:51,00:00:38,01:07:22,00:00:58,00:39:49,02:13:38,Jenny Nilsson has incorrectly formatted bike split; recalculated from other splits
580132,162523,00:24:52,00:00:37,01:06:10,00:01:00,00:41:23,02:14:02,Rebecka Forsström has incorrectly formatted bike split; recalculated from other splits
580132,165716,00:23:00,00:00:47,01:10:13,00:00:58,00:45:41,02:20:39,Mathilda Nilsson has incorrectly formatted bike split; recalculated from other splits
580132,137912,00:23:35,00:01:06,01:11:25,00:01:09,00:44:40,02:21:55,Siri Ohrankämmen has incorrectly formatted bike split; recalculated from other splits
580132,173174,00:23:10,00:00:54,01:11:10,00:01:08,00:48:12,02:24:34,Linda Brännlund has incorrectly formatted bike split; recalculated from other splits
